Player info,,,,,,Level 1 stats,,,,,,,,,Level 99 stats Note: Freedom is without Daisuke's notes,,,,,,,,,,,,,,,,,,,,,Moves,,,,,,,,
Full Name,Nickname,Position,Gender,Size,Element,FP,TP,Kick,Body,Control,Guard,Speed,Stamina,Guts,FP,Maxed out at,TP,Maxed out at,Kick,Maxed out at,Body,Maxed out at,Control,Maxed out at,Guard,Maxed out at,Speed,Maxed out at,Stamina,Maxed out at,Guts,Maxed out at,Freedom,Total,Max Totaal,Move 1,Learns at,Move  2,Learns at,Move 3,Learns at,Move 4,Learns at,Player HEX ID
George Winters,Winters,FW,Male,Medium,Wood,54,63,14,17,14,15,19,17,13,125,Lv.99,122,Lv.99,56,Lv.99,63,Lv.99,65,Lv.99,60,Lv.99,47,Lv.69,62,Lv.69,63,Lv.99,52,416,468,Shoot Plus,Lv.1,Reflect Buster,Lv.1,Clone Defence,Lv.40,Dark Phoenix,Lv.66,0x131
Den Hidden,Hidden,GK,Male,Large,Earth,58,54,12,12,12,13,14,12,13,120,Lv.99,100,Lv.59,63,Lv.69,56,Lv.59,58,Lv.59,65,Lv.69,46,Lv.99,67,Lv.69,56,Lv.59,35,411,446,Pressure Punch,Lv.8,Lucky!,Lv.27,Table-Turner,Lv.40,Infinite Wall,Lv.70,0x132
Shaun Imago,Imago,DF,Male,Medium,Air,50,48,10,9,7,11,17,11,9,120,Lv.99,92,Lv.99,45,Lv.59,41,Lv.59,38,Lv.99,53,Lv.59,56,Lv.69,56,Lv.99,56,Lv.59,80,345,425,Coil Turn,Lv.11,Spinning Cut,Lv.16,Volcano Cut,Lv.37,Whirlwind Force,Lv.38,0x133
Joe Straiter,Straiter,GK,Male,Medium,Fire,59,59,15,10,12,4,10,10,13,122,Lv.59,92,Lv.59,53,Lv.69,51,Lv.89,51,Lv.99,62,Lv.69,54,Lv.89,54,Lv.59,55,Lv.89,45,380,425,Fireball Knuckle,Lv.8,Horn Train,Lv.21,Full Power Shield,Lv.33,Gale Dash,Lv.40,0x134
Rupert Spiers,Spiers,MF,Male,Medium,Air,56,55,15,14,10,10,20,15,11,122,Lv.99,100,Lv.99,53,Lv.59,58,Lv.59,62,Lv.59,62,Lv.59,64,Lv.69,60,Lv.99,57,Lv.59,32,416,448,Whirlwind Twister,Lv.6,Whirlwind Cut,Lv.24,Double Cyclone,Lv.32,The Stinger,Lv.51,0x135
Mark Sudor,Sudor,GK,Male,Large,Earth,55,54,7,8,8,11,10,7,9,120,Lv.99,92,Lv.59,58,Lv.69,57,Lv.59,53,Lv.59,57,Lv.69,47,Lv.99,57,Lv.69,51,Lv.59,62,380,442,Pressure Punch,Lv.9,Super Sumo Stomp,Lv.11,Table-Turner,Lv.29,The Mountain,Lv.51,0x136
Ringo Stagg,Stagg,DF,Male,Medium,Air,49,52,11,9,7,15,10,13,10,121,Lv.59,105,Lv.59,56,Lv.59,59,Lv.99,54,Lv.59,60,Lv.99,53,Lv.59,53,Lv.59,57,Lv.59,25,392,417,Blade Attack,Lv.12,Volcano Cut,Lv.21,Am-Bush,Lv.55,Aurora Dribble,Lv.39,0x137
Jody MacGough,MacGough,DF,Male,Medium,Earth,44,49,8,8,9,10,11,10,11,138,Lv.99,95,Lv.99,44,Lv.59,51,Lv.59,54,Lv.59,51,Lv.59,60,Lv.69,62,Lv.99,56,Lv.59,33,378,411,About Face,Lv.13,Utter Gutsiness Bat,Lv.25,Rolling Slide,Lv.43,Utter Gutsiness Club,Lv.50,0x138
Jeeves Dropper,Dropper,MF,Male,Small,Air,48,52,9,7,8,11,14,12,9,126,Lv.99,96,Lv.99,47,Lv.59,56,Lv.59,54,Lv.59,51,Lv.59,60,Lv.69,56,Lv.99,52,Lv.59,35,376,411,Rodeo Clown,Lv.8,Bubble Gum,Lv.21,Fake Ball,Lv.30,Fake Bomber,Lv.34,0x139
Dan Dandy,Dandy,DF,Male,Medium,Air,57,57,11,13,8,11,17,13,12,114,Lv.99,109,Lv.99,56,Lv.59,45,Lv.59,46,Lv.99,57,Lv.59,60,Lv.69,59,Lv.99,60,Lv.59,41,383,424,Celestial Smash,Lv.64,Blade Attack,Lv.14,Circus Block,Lv.44,The Ikaros,Lv.55,0x13A
Rory Boomer,Boomer,MF,Male,Medium,Earth,57,45,19,15,11,10,11,10,14,124,Lv.59,101,Lv.99,62,Lv.69,57,Lv.59,54,Lv.99,53,Lv.59,56,Lv.59,59,Lv.59,67,Lv.59,33,408,441,Heat Tackle,Lv.15,Gale Dash,Lv.28,Lightning Sprint,Lv.40,Thunder Beast,Lv.49,0x13B
Tim Toppel,Toppel,GK,Male,Small,Wood,47,46,8,6,6,6,6,7,7,125,Lv.59,108,Lv.59,61,Lv.59,59,Lv.59,58,Lv.59,56,Lv.99,58,Lv.59,61,Lv.59,56,Lv.59,25,409,434,Killer Blade,Lv.12,Mistral,Lv.25,Utter Gutsiness Catch,Lv.33,Shadow Stitch,Lv.39,0x13C
Ames Shivers,Shivers,GK,Male,Medium,Wood,59,60,13,14,14,16,16,13,13,118,Lv.69,94,Lv.69,56,Lv.69,53,Lv.69,54,Lv.69,53,Lv.69,53,Lv.99,57,Lv.69,52,Lv.69,43,378,421,Killer Blade,Lv.8,Mistral,Lv.33,Whirlwind,Lv.37,Double Cyclone,Lv.50,0x13D
Chris Glover,Glover,MF,Male,Medium,Wood,50,53,10,11,9,14,7,9,11,94,Lv.99,112,Lv.59,60,Lv.69,57,Lv.59,56,Lv.59,65,Lv.69,42,Lv.99,60,Lv.69,51,Lv.59,24,391,415,Illusion Ball,Lv.13,Deceptor Dribble,Lv.21,Shooting Star,Lv.39,Black Hole,Lv.48,0x13E
Thor Toise,Toise,MF,Male,Large,Earth,54,42,14,12,10,7,9,10,9,131,Lv.59,105,Lv.99,51,Lv.59,52,Lv.59,48,Lv.99,44,Lv.59,50,Lv.59,55,Lv.59,51,Lv.59,80,351,431,Super Armadillo,Lv.11,Supreme Spin,Lv.19,Mega Quake,Lv.34,Super Sumo Stomp,Lv.50,0x13F
Colin Salts,Salts,FW,Male,Medium,Wood,56,53,11,11,10,8,10,10,10,118,Lv.99,105,Lv.69,57,Lv.69,46,Lv.69,47,Lv.69,44,Lv.69,46,Lv.69,48,Lv.99,44,Lv.69,93,332,425,Ghost Pull,Lv.10,Gaia Break,Lv.27,Dark Whirlwind,Lv.29,Rolling Hell,Lv.21,0x140
Christian Dear,Dear,DF,Male,Medium,Wood,52,48,15,14,11,7,9,8,10,120,Lv.59,93,Lv.99,55,Lv.59,58,Lv.59,65,Lv.99,58,Lv.59,46,Lv.59,51,Lv.59,53,Lv.59,44,386,430,Photon Crash,Lv.13,Racing Flame,Lv.36,Vac Attack,Lv.42,Diabolical Cut,Lv.58,0x141
Iggy Loyaller,Loyaller,FW,Male,Medium,Wood,49,50,9,11,10,11,11,7,10,122,Lv.99,102,Lv.59,56,Lv.69,57,Lv.59,51,Lv.59,57,Lv.69,40,Lv.99,58,Lv.69,51,Lv.59,60,370,430,Gyro Head,Lv.14,Spinning Cut,Lv.28,Acrobat Bomber,Lv.31,Double Wrath Shot,Lv.44,0x142
Conan Fox,Fox,GK,Male,Large,Earth,50,52,10,7,10,11,17,13,8,122,Lv.99,100,Lv.99,46,Lv.59,53,Lv.59,53,Lv.59,51,Lv.59,57,Lv.69,53,Lv.99,57,Lv.59,61,370,431,Toughness Block,Lv.10,Shot Pocket,Lv.21,Table-Turner,Lv.40,Heavy Mettle,Lv.59,0x143
Spike Coiffs,Coiffs,DF,Male,Small,Air,51,49,17,17,19,14,14,17,7,106,Lv.89,114,Lv.59,44,Lv.59,56,Lv.69,66,Lv.69,45,Lv.99,51,Lv.59,54,Lv.89,51,Lv.59,59,367,426,Flame Dance,Lv.20,Shadow Stitch,Lv.26,Invisible Fake,Lv.36,Gale Dash,Lv.48,0x144
Roger Rocket,Rocket,DF,Male,Medium,Air,55,48,11,6,4,11,19,14,8,133,Lv.99,96,Lv.99,44,Lv.59,37,Lv.59,41,Lv.99,55,Lv.59,66,Lv.69,53,Lv.99,51,Lv.59,78,347,425,Whirlwind Twister,Lv.10,Gale Dash,Lv.25,Vac Attack,Lv.30,Dash Storm,Lv.49,0x145
Bill Teller,Teller,DF,Male,Medium,Wood,47,62,13,6,21,9,14,11,11,122,Lv.99,101,Lv.99,46,Lv.59,55,Lv.59,66,Lv.59,57,Lv.59,57,Lv.69,54,Lv.99,55,Lv.59,35,390,425,Coil Turn,Lv.9,Shadow Stitch,Lv.20,Gungnir,Lv.21,Hurricane Arrows,Lv.58,0x146
Billy Nomates,Nomates,GK,Male,Medium,Wood,58,59,10,14,12,15,12,12,11,119,Lv.99,103,Lv.59,65,Lv.69,58,Lv.59,58,Lv.59,66,Lv.69,44,Lv.99,65,Lv.69,59,Lv.59,35,415,450,Killer Blade,Lv.10,Rocket Kobushi,Lv.16,Yo-Yo Ball,Lv.43,Double Rocket,Lv.60,0x147
Harry Caine,Caine,GK,Male,Medium,Air,60,55,11,15,16,15,14,15,13,120,Lv.99,103,Lv.59,63,Lv.69,62,Lv.89,56,Lv.89,58,Lv.89,58,Lv.99,56,Lv.89,57,Lv.89,33,410,443,Tornado Catch,Lv.13,Storm Rider,Lv.57,Aurora Curtain,Lv.26,Cyclone,Lv.34,0x148
Martin Sheller,Sheller,FW,Male,Large,Fire,52,48,10,10,7,14,11,7,9,129,Lv.99,101,Lv.59,60,Lv.69,54,Lv.59,54,Lv.59,61,Lv.69,41,Lv.99,60,Lv.69,57,Lv.59,37,387,424,Super Armadillo,Lv.11,Mole Fake,Lv.27,The Wall,Lv.33,Move It!,Lv.35,0x149
Alfie Fine,Fine,GK,Male,Medium,Wood,49,49,11,9,10,10,9,9,10,93,Lv.99,126,Lv.59,59,Lv.69,51,Lv.59,51,Lv.59,61,Lv.69,50,Lv.99,60,Lv.69,54,Lv.59,25,386,411,Big Moves!,Lv.1,Table-Turner,Lv.1,Dog Run,Lv.42,Fist of Justice,Lv.45,0x14A
Cameron Mann,Mann,MF,Male,Medium,Earth,50,50,10,10,11,9,9,9,7,114,Lv.59,106,Lv.59,56,Lv.99,55,Lv.59,54,Lv.59,56,Lv.59,51,Lv.59,51,Lv.59,52,Lv.59,50,375,425,Monkey Turn,Lv.10,Poison Fog,Lv.16,Dark Whirlwind,Lv.35,Bamboo Pattern,Lv.67,0x14B
Don Keys,Keys,FW,Male,Medium,Fire,54,49,7,10,7,10,14,12,10,121,Lv.99,99,Lv.99,47,Lv.59,41,Lv.59,39,Lv.99,51,Lv.59,58,Lv.69,53,Lv.99,53,Lv.59,83,342,425,Megaton Head,Lv.11,Heel Kick,Lv.16,Fake Bomber,Lv.28,Gale Dash,Lv.42,0x14C
Sonny East,East,GK,Male,Small,Wood,52,48,13,13,8,11,7,11,8,120,Lv.59,99,Lv.99,55,Lv.59,56,Lv.59,50,Lv.59,44,Lv.99,49,Lv.59,57,Lv.59,60,Lv.59,60,371,431,Fireball Knuckle,Lv.3,Rocket Kobushi,Lv.17,Nitro Slap,Lv.35,Fake Ball,Lv.29,0x14D
Dan Carpenter,Carpent.,GK,Male,Large,Earth,55,49,9,13,13,8,8,11,8,102,Lv.89,109,Lv.59,44,Lv.59,52,Lv.69,56,Lv.69,45,Lv.99,51,Lv.59,53,Lv.89,56,Lv.59,69,357,426,Toughness Block,Lv.6,Wild Claw,Lv.19,Utter Gutsiness Catch,Lv.33,Body Shield,Lv.44,0x14E
Doug Walker,Walker,GK,Male,Large,Earth,52,54,9,13,17,10,8,10,9,117,Lv.89,96,Lv.59,47,Lv.59,51,Lv.69,62,Lv.69,45,Lv.99,53,Lv.59,54,Lv.89,56,Lv.59,63,368,431,Sumo Stomp,Lv.1,Toughness Block,Lv.8,Gigant Wall,Lv.38,Dog Run,Lv.50,0x14F
Frank Drake,Drake,DF,Male,Medium,Air,64,54,13,12,12,13,13,16,13,124,Lv.89,102,Lv.89,54,Lv.99,54,Lv.89,56,Lv.89,54,Lv.89,58,Lv.89,59,Lv.89,51,Lv.89,43,386,429,Coil Turn,Lv.9,Whale Guard,Lv.41,Slack Off,Lv.47,Clone Defence,Lv.36,0x150
Chris Massey,Massey,DF,Male,Medium,Wood,55,54,16,7,10,14,10,8,10,118,Lv.99,97,Lv.59,59,Lv.69,54,Lv.59,51,Lv.59,51,Lv.69,53,Lv.99,57,Lv.69,55,Lv.59,61,380,441,Attack Scan,Lv.9,Land Of Ice,Lv.22,Lightning Sprint,Lv.41,Freeze Shot,Lv.34,0x151
Carl Sacks,Sacks,FW,Male,Large,Earth,60,53,14,11,12,10,14,11,10,116,Lv.69,97,Lv.69,56,Lv.69,57,Lv.69,53,Lv.69,56,Lv.69,53,Lv.69,51,Lv.99,53,Lv.69,36,379,415,Bubble Gum,Lv.2,Super Sumo Stomp,Lv.16,Triangle Z,Lv.45,Utter Gutsiness Club,Lv.33,0x152
Biff Beeston,Beeston,GK,Male,Medium,Wood,44,59,7,9,14,13,10,15,11,122,Lv.59,99,Lv.59,53,Lv.59,60,Lv.99,44,Lv.59,56,Lv.99,53,Lv.59,61,Lv.59,54,Lv.59,37,381,418,Killer Blade,Lv.11,Fireball Head,Lv.20,Utter Gutsiness Catch,Lv.31,The Stinger,Lv.52,0x153
Lou Beigh,Beigh,GK,Male,Medium,Wood,51,49,14,11,9,7,15,14,9,101,Lv.99,115,Lv.99,45,Lv.59,51,Lv.59,57,Lv.59,51,Lv.59,60,Lv.69,51,Lv.99,56,Lv.59,62,371,433,Killer Blade,Lv.9,Blade Attack,Lv.20,Afterimage,Lv.28,Hammer of Fury,Lv.50,0x154
Marv Errick,Errick,GK,Male,Large,Fire,60,55,12,13,14,17,11,13,10,119,Lv.99,109,Lv.59,64,Lv.69,62,Lv.59,58,Lv.59,65,Lv.69,45,Lv.99,60,Lv.69,56,Lv.59,33,410,443,Toughness Block,Lv.6,Breakthrough,Lv.17,Blazing Knuckle,Lv.35,Clone Block,Lv.48,0x155
Bob Whittle,Whittle,FW,Male,Small,Air,49,59,15,13,13,11,19,15,13,121,Lv.99,105,Lv.99,56,Lv.59,60,Lv.59,62,Lv.59,58,Lv.59,62,Lv.69,58,Lv.99,57,Lv.59,34,413,447,Rolling Kick,Lv.7,Whirlwind Cut,Lv.18,Twin Boost,Lv.31,Boost Glider,Lv.39,0x156
Bert Neptune,Neptune,MF,Male,Medium,Wood,61,64,16,17,17,13,16,16,14,125,Lv.89,110,Lv.89,58,Lv.89,62,Lv.89,58,Lv.99,58,Lv.89,57,Lv.89,56,Lv.89,56,Lv.89,26,405,431,Attack Scan,Lv.14,Moonsault,Lv.22,Aurora Dribble,Lv.31,Dragon Cannon,Lv.44,0x157
Sol Crater,Crater,FW,Male,Large,Fire,55,56,12,12,11,11,10,11,13,122,Lv.69,94,Lv.89,51,Lv.69,51,Lv.99,51,Lv.89,53,Lv.69,51,Lv.69,54,Lv.69,53,Lv.89,54,364,418,Bubble Gum,Lv.11,Breakthrough,Lv.23,Breakthrough 2,Lv.58,Volcano Cut,Lv.70,0x158
Percy Coldstair,C’stair,DF,Male,Medium,Wood,45,49,7,10,11,8,11,14,11,94,Lv.99,114,Lv.99,45,Lv.59,55,Lv.59,53,Lv.59,51,Lv.59,59,Lv.69,58,Lv.99,57,Lv.59,32,378,410,Coil Turn,Lv.8,Wyvern Crash,Lv.16,Spinning Cut,Lv.27,Barbarian Shield,Lv.47,0x159
Dusky Sunfield,Sunfield,MF,Male,Medium,Air,49,48,15,11,19,9,11,7,9,120,Lv.59,88,Lv.99,55,Lv.59,53,Lv.59,61,Lv.59,50,Lv.99,45,Lv.59,56,Lv.59,56,Lv.59,62,376,438,Dash Accelerator,Lv.6,Bewildered,Lv.12,Mole Fake,Lv.20,Atomic Flare,Lv.58,0x15A
Rocky Shears,Shears,GK,Male,Large,Earth,58,58,14,12,13,12,11,14,12,120,Lv.89,102,Lv.89,54,Lv.99,54,Lv.89,56,Lv.89,67,Lv.89,57,Lv.89,56,Lv.89,56,Lv.89,36,400,436,Toughness Block,Lv.8,Rocket Kobushi,Lv.16,Utter Gutsiness Catch,Lv.33,Clone Block,Lv.41,0x15B
Percy Stent,Stent,GK,Male,Large,Fire,60,53,10,17,13,17,16,13,15,112,Lv.99,108,Lv.59,65,Lv.69,57,Lv.89,56,Lv.89,57,Lv.99,60,Lv.89,61,Lv.89,60,Lv.89,35,416,451,Never Give Up,Lv.1,Full Power Shield,Lv.26,Table-Turner,Lv.31,Gigant Wall,Lv.50,0x15C
Art Pendragon,Pendra.,GK,Male,Medium,Air,49,58,8,10,10,17,13,14,8,135,Lv.59,93,Lv.59,56,Lv.59,59,Lv.99,47,Lv.59,57,Lv.99,57,Lv.59,62,Lv.59,55,Lv.59,24,393,417,Tornado Catch,Lv.10,Fireball Head,Lv.18,Dragon Slayer,Lv.59,Nitro Slap,Lv.38,0x15D
Dom Ittory,Ittory,GK,Male,Medium,Earth,51,52,9,11,13,11,8,9,9,118,Lv.89,92,Lv.59,50,Lv.59,51,Lv.69,56,Lv.69,46,Lv.99,57,Lv.59,57,Lv.89,51,Lv.59,42,368,410,Fireball Knuckle,Lv.10,Fireball Head,Lv.18,Blazing Knuckle,Lv.34,Volcano Cut,Lv.38,0x15E
Chaz Biggins,Biggins,FW,Male,Large,Earth,65,43,14,7,7,15,10,14,9,125,Lv.99,92,Lv.59,57,Lv.69,56,Lv.59,36,Lv.59,57,Lv.69,54,Lv.99,58,Lv.69,53,Lv.59,62,371,433,Super Armadillo,Lv.9,Mole Fake,Lv.20,Bewilder Blast,Lv.39,Land Dragon,Lv.40,0x15F
Sly O’Hands,O’Hands,GK,Male,Medium,Air,57,52,12,14,12,17,13,11,14,117,Lv.99,109,Lv.59,53,Lv.69,63,Lv.59,67,Lv.99,67,Lv.69,47,Lv.99,56,Lv.69,61,Lv.59,32,414,446,Mistral,Lv.12,Attack Scan,Lv.20,Divine Stamp,Lv.33,Mugen The Hand,Lv.61,0x160
Sean Lavender,Lavender,FW,Male,Small,Wood,56,54,13,7,14,13,9,9,9,99,Lv.99,130,Lv.59,60,Lv.69,51,Lv.59,53,Lv.59,54,Lv.69,57,Lv.99,62,Lv.69,52,Lv.59,22,389,411,Spiral Shot,Lv.11,Baby Dragon,Lv.21,Bubble Gum,Lv.28,Reflect Buster,Lv.38,0x161
Ace Server,Server,GK,Male,Medium,Air,60,55,13,12,14,14,10,10,13,112,Lv.99,106,Lv.59,65,Lv.69,61,Lv.59,57,Lv.59,66,Lv.69,47,Lv.99,66,Lv.69,60,Lv.59,31,422,453,Power Charge,Lv.43,Whirlwind,Lv.7,Table-Turner,Lv.35,Dual Smash,Lv.51,0x162
Horace Nelson,Nelson,GK,Male,Medium,Fire,49,54,17,9,13,15,10,11,7,91,Lv.99,126,Lv.59,59,Lv.69,53,Lv.59,51,Lv.59,54,Lv.69,53,Lv.99,62,Lv.69,55,Lv.59,38,387,425,Fireball Knuckle,Lv.8,Power Shield,Lv.16,Fake Bomber,Lv.23,Flame Breath,Lv.31,0x163
Rex George,George,GK,Male,Medium,Air,60,59,15,16,15,15,15,15,16,126,Lv.89,102,Lv.89,60,Lv.89,60,Lv.99,56,Lv.89,56,Lv.89,57,Lv.89,60,Lv.89,59,Lv.89,23,408,431,Rocket Kobushi,Lv.9,Mistral,Lv.19,Procyon Net,Lv.46,Aurora Curtain,Lv.31,0x164
Philip Prince,Prince,GK,Male,Medium,Wood,49,48,10,8,11,8,17,12,8,94,Lv.99,114,Lv.99,45,Lv.59,51,Lv.59,51,Lv.59,56,Lv.59,60,Lv.69,60,Lv.99,55,Lv.59,35,378,413,Wood Chopper,Lv.11,Rocket Kobushi,Lv.16,Shadow Stitch,Lv.26,Mugen The Hand,Lv.60,0x165
Heath Rower,Rower,MF,Male,Medium,Air,58,56,10,11,12,12,12,14,12,118,Lv.69,97,Lv.69,53,Lv.69,53,Lv.69,51,Lv.99,53,Lv.69,55,Lv.69,51,Lv.69,53,Lv.69,56,369,425,Lucky!,Lv.1,Desert Blast,Lv.36,Hawk Shot,Lv.20,Boost Glider,Lv.58,0x166
Kim Arite,Arite,GK,Male,Large,Earth,52,52,9,7,9,17,8,12,11,135,Lv.59,99,Lv.59,53,Lv.59,60,Lv.99,51,Lv.59,67,Lv.99,56,Lv.59,53,Lv.59,56,Lv.59,29,396,425,Sumo Stomp,Lv.1,Toughness Block,Lv.1,Nitro Slap,Lv.42,Super Sumo Stomp,Lv.31,0x167
Jay Archer,Archer,FW,Male,Large,Fire,70,57,11,7,12,16,12,17,8,123,Lv.59,97,Lv.59,52,Lv.59,61,Lv.99,46,Lv.59,59,Lv.99,54,Lv.59,58,Lv.59,56,Lv.59,25,386,411,Grenade Shot,Lv.9,Dirt Ball,Lv.16,Breakthrough,Lv.20,Assault Shot,Lv.55,0x168
Bo Ling,Ling,DF,Male,Medium,Wood,52,51,10,7,21,11,10,10,10,106,Lv.89,113,Lv.59,47,Lv.59,53,Lv.69,67,Lv.69,50,Lv.99,53,Lv.59,54,Lv.89,51,Lv.59,59,375,434,Astro Break,Lv.1,About Face,Lv.18,Planet Shield,Lv.38,Utter Gutsiness Catch,Lv.45,0x169
Chuck Hardy,Hardy,FW,Male,Small,Air,50,52,8,12,14,9,10,9,10,124,Lv.89,93,Lv.59,49,Lv.59,54,Lv.69,62,Lv.69,47,Lv.99,51,Lv.59,57,Lv.89,57,Lv.59,62,377,439,Flurry Dash,Lv.10,Run Ball Run,Lv.17,Zigzag Spark,Lv.20,Shine Drive,Lv.27,0x16A
Ben Evolent,Evolent,FW,Male,Small,Air,61,62,6,15,14,13,15,15,15,120,Lv.69,101,Lv.69,60,Lv.69,51,Lv.69,56,Lv.99,56,Lv.69,51,Lv.69,55,Lv.69,51,Lv.69,50,380,430,Coil Turn,Lv.6,Fake Ball,Lv.20,Flame Dance,Lv.34,Double Tornado,Lv.45,0x16B
Will Noble,Noble,GK,Male,Medium,Wood,54,59,8,11,14,8,10,10,11,133,Lv.69,102,Lv.69,48,Lv.69,48,Lv.99,52,Lv.69,44,Lv.69,51,Lv.69,48,Lv.69,47,Lv.69,89,338,427,Tornado Catch,Lv.10,Gravitation,Lv.21,Fist of Justice,Lv.55,Hammer of Fury,Lv.62,0x16C
Jack Frosty,Frosty,DF,Male,Medium,Air,48,44,5,6,6,4,7,6,5,125,Lv.59,105,Lv.59,59,Lv.59,62,Lv.59,58,Lv.99,59,Lv.59,60,Lv.59,56,Lv.59,60,Lv.59,13,414,427,Dash Accelerator,Lv.7,Aurora Dribble,Lv.20,Deceptor Dribble,Lv.29,Clone Defence,Lv.34,0x16D
Larry Helps,Helps,FW,Male,Medium,Wood,47,54,10,8,8,11,18,13,10,118,Lv.99,102,Lv.99,47,Lv.59,52,Lv.59,54,Lv.59,55,Lv.59,56,Lv.69,52,Lv.99,53,Lv.59,64,369,433,Rolling Kick,Lv.12,Phantom Shot,Lv.18,Cosmic Blast,Lv.52,Whirlwind Cut,Lv.39,0x16E
Monty Patten,Patten,DF,Male,Medium,Wood,57,55,13,10,10,12,12,13,13,118,Lv.89,116,Lv.59,57,Lv.89,56,Lv.89,57,Lv.89,56,Lv.89,51,Lv.99,52,Lv.89,56,Lv.89,43,385,428,Attack Scan,Lv.14,Spider Web,Lv.22,Perimeter Zone,Lv.43,Bamboo Pattern,Lv.50,0x16F
Chunk Gorman,Gorman,FW,Male,Large,Earth,51,50,13,8,11,8,15,11,11,101,Lv.99,116,Lv.99,48,Lv.59,53,Lv.59,54,Lv.59,56,Lv.59,57,Lv.69,51,Lv.99,51,Lv.59,62,370,432,Dirt Ball,Lv.12,Rainbow Arc,Lv.22,Mole Shuffle,Lv.28,Armadillo Circus,Lv.42,0x170
Balt Decker,Decker,DF,Male,Small,Air,57,54,11,13,6,13,17,15,12,120,Lv.99,109,Lv.99,53,Lv.59,47,Lv.59,48,Lv.99,56,Lv.59,65,Lv.69,56,Lv.99,60,Lv.59,32,385,417,Blade Attack,Lv.15,Cyclone,Lv.25,Double Cyclone,Lv.35,Hurricane Arrows,Lv.50,0x171
Drew Crenshaw,Crenshaw,DF,Male,Medium,Earth,49,49,7,13,13,10,11,9,9,107,Lv.89,110,Lv.59,47,Lv.59,55,Lv.69,61,Lv.69,48,Lv.99,56,Lv.59,51,Lv.89,57,Lv.59,60,375,435,Ghost Pull,Lv.13,Shadow Stitch,Lv.31,Planet Shield,Lv.64,Divine Stamp,Lv.48,0x172
Stan Trum,Trum,FW,Male,Medium,Fire,49,48,11,9,7,8,15,11,10,118,Lv.99,93,Lv.99,48,Lv.59,52,Lv.59,54,Lv.59,53,Lv.59,62,Lv.69,55,Lv.99,55,Lv.59,60,379,439,Tarzan Kick,Lv.12,Freeze Shot,Lv.26,Breakthrough,Lv.32,Fire Tornado,Lv.36,0x173
Sham Spike,Spike,MF,Male,Medium,Earth,59,59,15,14,13,17,15,17,14,115,Lv.69,95,Lv.69,56,Lv.69,54,Lv.69,51,Lv.99,53,Lv.69,53,Lv.69,53,Lv.69,54,Lv.69,54,374,428,Dash Accelerator,Lv.8,Horn Train,Lv.18,Breakthrough,Lv.25,Breakthrough 2,Lv.48,0x174
Rainier Welkin,Rainier,GK,Male,Large,Fire,55,61,8,9,14,17,10,10,11,107,Lv.89,124,Lv.59,48,Lv.59,56,Lv.69,60,Lv.69,65,Lv.99,53,Lv.59,56,Lv.89,51,Lv.59,35,389,424,Fireball Knuckle,Lv.15,Rocket Kobushi,Lv.23,Fake Bomber,Lv.30,Blazing Knuckle,Lv.50,0x175
Evan Yielding,Yielding,FW,Male,Medium,Wood,54,57,11,12,6,10,18,15,14,118,Lv.99,103,Lv.99,51,Lv.59,47,Lv.59,50,Lv.99,56,Lv.59,65,Lv.69,59,Lv.99,58,Lv.59,38,386,424,Shoot Plus,Lv.1,Wrath Shot,Lv.10,Dark Tornado,Lv.37,Dual Strike,Lv.57,0x176
Phil Anthropic,Anthrop.,FW,Male,Large,Earth,52,54,14,12,12,12,12,8,12,124,Lv.99,89,Lv.99,66,Lv.99,66,Lv.99,66,Lv.99,66,Lv.99,60,Lv.99,45,Lv.99,65,Lv.99,15,434,449,Poison Fog,Lv.17,Kung Fu Fighting,Lv.20,Dark Whirlwind,Lv.30,Land Dragon,Lv.53,0x177
Fane Club,Club,GK,Male,Small,Air,51,52,10,7,10,10,9,9,9,93,Lv.69,123,Lv.69,47,Lv.69,50,Lv.69,46,Lv.69,61,Lv.69,48,Lv.99,45,Lv.69,49,Lv.69,77,346,423,Shot Pocket,Lv.9,Majin The Hand(E),Lv.37,Fake Bomber,Lv.33,Fist of Justice,Lv.53,0x178
Slim Lanky,Lanky,GK,Male,Medium,Air,55,54,7,7,6,10,15,11,9,131,Lv.99,96,Lv.99,46,Lv.59,41,Lv.59,41,Lv.99,54,Lv.59,59,Lv.69,53,Lv.99,57,Lv.59,74,351,425,Killer Blade,Lv.15,Mistral,Lv.22,Galatyn,Lv.44,Clone Defence,Lv.62,0x179
Pearson Gaze,Gaze,DF,Male,Large,Fire,56,47,8,8,7,9,17,13,7,120,Lv.99,102,Lv.99,46,Lv.59,41,Lv.59,38,Lv.99,53,Lv.59,62,Lv.69,57,Lv.99,54,Lv.59,74,351,425,Sumo Stomp,Lv.12,Horn Train,Lv.19,Road Roller,Lv.60,Diabolical Cut,Lv.71,0x17A
Edward Albion,Albion,GK,Male,Medium,Earth,54,55,14,14,19,13,17,11,10,124,Lv.89,92,Lv.89,56,Lv.89,56,Lv.89,61,Lv.89,53,Lv.89,60,Lv.99,57,Lv.89,56,Lv.89,41,399,440,Wood Chopper,Lv.11,Wild Claw,Lv.29,Utter Gutsiness Catch,Lv.43,Procyon Net,Lv.50,0x17B
